container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
1,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQF4rRbgDEe24A/image-shrink_1280/B4DZVHbabEHwAM-/0/1740660124453/1200x628jpg?e=1746900000&v=beta&t=6qd0YNNT0-wut3gMPpbRJQdDM6-tj_XJecDQNQhiO8E']",Active,/ad-library/detail/625448623?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625448623?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625448623', '/ad-library/detail/625448623']",adidas Overview,True,all-time
2,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQF4rRbgDEe24A/image-shrink_1280/B4DZVHbabEHwAM-/0/1740660124453/1200x628jpg?e=1746900000&v=beta&t=6qd0YNNT0-wut3gMPpbRJQdDM6-tj_XJecDQNQhiO8E']",Active,/ad-library/detail/625448623?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625448623?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625448623', '/ad-library/detail/625448623']",adidas Overview,True,all-time
3,No title found,PUMA Group,No image found,[],Active,No link found,[],adidas Overview,,all-time
4,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
5,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…","As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
6,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQEv2lATBMa3sA/image_627_1200/B56ZVHdKXeHsAY-/0/1740660581980/1200x628jpg?e=1746900000&v=beta&t=KPXiRCB-1stkKSl6NRGH4icvHNJrXHHuehJVXvXoqC0']",Active,/ad-library/detail/625552593?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625552593?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625552593', '/ad-library/detail/625552593']",adidas Overview,True,all-time
7,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQEv2lATBMa3sA/image_627_1200/B56ZVHdKXeHsAY-/0/1740660581980/1200x628jpg?e=1746900000&v=beta&t=KPXiRCB-1stkKSl6NRGH4icvHNJrXHHuehJVXvXoqC0']",Active,/ad-library/detail/625552593?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625552593?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625552593', '/ad-library/detail/625552593']",adidas Overview,True,all-time
8,No title found,PUMA Group,No image found,[],Active,No link found,[],adidas Overview,,all-time
9,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
10,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF on best-selling PUMA styles, because elite talent…","As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
11,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQGMWHw5xA1cog/image-shrink_1280/B4DZVHXWEdG4AQ-/0/1740659057897/1200x1200jpg?e=1746900000&v=beta&t=W1Uk2PBDSg1XbAY0s4R9jr_lEkP_tUmdlb1aB5aqD3U']",Active,/ad-library/detail/625543633?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625543633?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625543633', '/ad-library/detail/625543633']",adidas Overview,True,all-time
12,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQGMWHw5xA1cog/image-shrink_1280/B4DZVHXWEdG4AQ-/0/1740659057897/1200x1200jpg?e=1746900000&v=beta&t=W1Uk2PBDSg1XbAY0s4R9jr_lEkP_tUmdlb1aB5aqD3U']",Active,/ad-library/detail/625543633?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625543633?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625543633', '/ad-library/detail/625543633']",adidas Overview,True,all-time
13,No title found,PUMA Group,No image found,[],Active,No link found,[],adidas Overview,,all-time
14,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
15,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF on best-selling PUMA styles, because elite talent…","As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
16,"%FIRSTNAME%, find what inspires you. Join Puma!",Get the latest jobs and industry news,https://static.licdn.com/aero-v1/sc/h/9c8pery4andzj6ohjkjp54ma2,"['https://static.licdn.com/aero-v1/sc/h/9c8pery4andzj6ohjkjp54ma2', 'https://media.licdn.com/dms/image/v2/D4D0BAQFpPYOMVKrh2Q/company-logo_100_100/company-logo_100_100/0/1722239851758/puma_logo?e=1751500800&v=beta&t=BXbIwrMBA5IFgyw7_QpN5Ahn8Ufj6nSgbzjlRa6DI_c']",Active,/ad-library/detail/576110134,"['/ad-library/detail/576110134', '/ad-library/detail/576110134']",adidas Overview,,all-time
17,Be part of the PUMA Family.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D5610AQG933CHpHM19Q/videocover-high/videocover-high/0/1724847525054/LinkedInAd_ATW_TEASER_1920x1080_61smp4?e=1746900000&v=beta&t=3MOivt1hhFjDhffa5Zx_eqfq226vJmcJ8VZjHDp00mI']",Active,/ad-library/detail/502181956,"['/ad-library/detail/502181956', '/ad-library/detail/502181956', '/ad-library/detail/502181956']",adidas Overview,True,all-time
18,Be part of the PUMA Family.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D5610AQG933CHpHM19Q/videocover-high/videocover-high/0/1724847525054/LinkedInAd_ATW_TEASER_1920x1080_61smp4?e=1746900000&v=beta&t=3MOivt1hhFjDhffa5Zx_eqfq226vJmcJ8VZjHDp00mI']",Active,/ad-library/detail/502181956,"['/ad-library/detail/502181956', '/ad-library/detail/502181956', '/ad-library/detail/502181956']",adidas Overview,True,all-time
19,No title found,PUMA Group,No image found,[],Active,No link found,[],adidas Overview,,all-time
20,Be part of the PUMA Family.,Be part of the PUMA Family.,No image found,[],Active,No link found,[],adidas Overview,,all-time
21,"%FIRSTNAME%, explore relevant opportunities with PUMA Group",Get the latest jobs and industry news,https://static.licdn.com/aero-v1/sc/h/9c8pery4andzj6ohjkjp54ma2,"['https://static.licdn.com/aero-v1/sc/h/9c8pery4andzj6ohjkjp54ma2', 'https://media.licdn.com/dms/image/v2/D4D0BAQEn0ysnD3C1xw/company-logo_100_100/company-logo_100_100/0/1712736838422/puma_logo?e=1751500800&v=beta&t=V3IHyYbMDxlmhvJ7V7b3ej_7Sfn773DLLkbGJpsiiro']",Active,/ad-library/detail/403050544,"['/ad-library/detail/403050544', '/ad-library/detail/403050544']",adidas Overview,,all-time
22,"%FIRSTNAME%, explore jobs at PUMA Group that match your skills","%FIRSTNAME%, explore jobs at PUMA Group that match your skills",https://static.licdn.com/aero-v1/sc/h/9c8pery4andzj6ohjkjp54ma2,"['https://static.licdn.com/aero-v1/sc/h/9c8pery4andzj6ohjkjp54ma2', 'https://media.licdn.com/dms/image/v2/D4E0BAQFQzAxYC6-Ryw/company-logo_100_100/company-logo_100_100/0/1688561123324/puma_logo?e=1751500800&v=beta&t=7n0D1f23AFVHlLjVe4-oYoSxIcOQYg35yAsT9rKU5NU']",Active,/ad-library/detail/342866874,"['/ad-library/detail/342866874', '/ad-library/detail/342866874']",adidas Overview,,all-time
23,Part of a Fortune 500/Unicorn company? Swipe,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D1DAQFNvEoTJeJITg/ssu-carousel-card-shrink_1080_1080/B4DZVH2whNHIA4-/0/1740667292826?e=1746900000&v=beta&t=SnSIwmMNh-kgFMza-KEA8rFxZo0J2qGRf92mgvvqYe4', 'https://media.licdn.com/dms/image/v2/D4D1DAQHnVMK3L1-LZw/ssu-carousel-card-shrink_1080_1080/B4DZVH2yrbHIAw-/0/1740667301732?e=1746900000&v=beta&t=2-3je0wh4cix4YCbVEuQRXjnjGmHuxhzYjisCMnjGOE', 'https://media.licdn.com/dms/image/v2/D4D1DAQF0xnLVeKjYIA/ssu-carousel-card-shrink_1080_1080/B4DZVH21mKHkAs-/0/1740667313319?e=1746900000&v=beta&t=SSYNlspQxOmSWD11o0HTsSKoln6phCuE52hHwJ0MBYY']",Active,/ad-library/detail/625551313,"['/ad-library/detail/625551313', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313', '/ad-library/detail/625551313']",adidas Overview,True,all-time
24,Part of a Fortune 500/Unicorn company? Swipe,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D1DAQFNvEoTJeJITg/ssu-carousel-card-shrink_1080_1080/B4DZVH2whNHIA4-/0/1740667292826?e=1746900000&v=beta&t=SnSIwmMNh-kgFMza-KEA8rFxZo0J2qGRf92mgvvqYe4', 'https://media.licdn.com/dms/image/v2/D4D1DAQHnVMK3L1-LZw/ssu-carousel-card-shrink_1080_1080/B4DZVH2yrbHIAw-/0/1740667301732?e=1746900000&v=beta&t=2-3je0wh4cix4YCbVEuQRXjnjGmHuxhzYjisCMnjGOE', 'https://media.licdn.com/dms/image/v2/D4D1DAQF0xnLVeKjYIA/ssu-carousel-card-shrink_1080_1080/B4DZVH21mKHkAs-/0/1740667313319?e=1746900000&v=beta&t=SSYNlspQxOmSWD11o0HTsSKoln6phCuE52hHwJ0MBYY']",Active,/ad-library/detail/625551313,"['/ad-library/detail/625551313', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313', '/ad-library/detail/625551313']",adidas Overview,True,all-time
25,No title found,PUMA Group,No image found,[],Active,No link found,[],adidas Overview,,all-time
26,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQGxEGwa8l_wVA/image-shrink_1280/B4DZVHWznwGkAM-/0/1740658917018/1200x628copyjpg?e=1746900000&v=beta&t=GxfcsZJhKaAHYuwbDeOo0K84eqSribCojwg9cF1Dd7E']",Active,/ad-library/detail/625476593?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625476593?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625476593', '/ad-library/detail/625476593']",adidas Overview,True,all-time
27,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQGxEGwa8l_wVA/image-shrink_1280/B4DZVHWznwGkAM-/0/1740658917018/1200x628copyjpg?e=1746900000&v=beta&t=GxfcsZJhKaAHYuwbDeOo0K84eqSribCojwg9cF1Dd7E']",Active,/ad-library/detail/625476593?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625476593?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625476593', '/ad-library/detail/625476593']",adidas Overview,True,all-time
28,No title found,PUMA Group,No image found,[],Active,No link found,[],adidas Overview,,all-time
29,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
30,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…","As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
31,No title found,No text found,No image found,[],Active,No link found,[],adidas Overview,,all-time
32,No title found,No text found,No image found,[],Active,No link found,[],adidas Overview,,all-time
